id,source,target,length
1,290206276,290206277,35.57091359510576
2,290206276,394770104,109.99205647445481
3,290206277,395095715,19.212223956979802
4,290206277,2623913446,78.29454294047325
5,290206284,394662398,20.949202576169053
6,290206284,1468061840,15.907761516638878
7,290206299,11278718443,43.08431418868615
8,290206299,11278718454,264.7941330149808
9,290206299,2625086510,121.52074441544927
10,290206389,290206276,398.2340002567331
11,290206389,2625241119,213.56580609431944
12,290206389,2628272331,122.85242795214214
13,290206405,2623843104,20.674461103625358
14,290206405,2627558595,372.79099512253896
15,290206405,2625319200,479.9634607924017
16,290206412,394770097,498.6464583323389
17,290206412,2625319200,103.52054180199733
18,290206412,2623951366,493.78645493856123
19,290206459,11330626881,234.51289276029505
20,290206459,11330626874,158.09907577799987
21,290206459,2627558518,165.92339781007445
22,290206506,2638943993,383.6089085377562
23,290206506,2638943956,149.93357921512808
24,290206506,11330643412,375.9683290573249
25,290206583,2592202720,9.772455991585794
26,290206583,5870372409,402.03814654486763
27,290206583,2592202701,96.91206673420095
28,290206586,7517106895,373.2421371821707
29,290206586,2592202696,53.84988304442953
30,290206586,8023041748,442.5784306192944
31,290206646,2645722012,104.04999754722903
32,290206646,11553176151,127.21560532332653
33,290206646,2630200819,379.7454739481257
34,290206695,5831290208,1095.9791146714806
35,290206695,5831289788,184.73036490258107
36,290206695,394800668,40.933253879095226
37,290207300,5869694529,1112.9797152650929
38,290207300,5292876866,592.7287423532964
39,290207300,5869697316,870.4684652746915
40,290207400,5869694495,750.0421746872116
41,290207400,5869694687,1962.3268401742903
42,290207400,5234412993,104.44324264527921
43,290207613,5274683067,190.56575986773683
44,290207613,4770534814,39.42530863611544
45,290207613,11555389653,122.58104624127338
46,290207628,5882977921,68.84600155909555
47,290207628,7644039949,185.45218620717944
48,290207628,5882978895,441.3332546197373
49,290207636,4770534469,107.91791852618259
50,290207636,5882977397,110.1967162868166
51,290207636,5882977398,110.91629209653101
52,290207641,5882977904,68.26198882360373
53,290207641,5882977397,50.59173321445416
54,290207641,5882978072,447.3609749264227
55,290207647,4770534509,90.79088393925528
56,290207647,5882978072,52.623029874092175
57,290207647,2487152126,99.57593981745124
58,290207690,3074144731,27.06202723415154
59,290207690,5273270463,29.50910737440336
60,290207690,12464811182,15.095239261092281
61,290207706,4770518264,145.736615938594
62,290207706,290207708,93.88097144948745
63,290207706,5232590436,180.23050521647278
64,290207706,3251511475,231.4019356554967
65,290207708,290207706,93.88097144948745
66,290207708,5232591486,59.560382858206374
67,290207708,1842326946,234.96053647864792
68,290207761,7531310518,45.3861255380301
69,290207761,5870260465,164.93859979070612
70,290207761,5870260653,89.02781398820106
71,290207777,5870260450,168.90818230925103
72,290207777,7526386768,615.000360762424
73,290207777,5870260784,550.2112648787296
74,290207785,5870260506,402.26295823821016
75,290207785,5870260784,184.6382111376229
76,290207785,11555379399,74.02273072618149
77,290208907,2640251326,1344.0135035369076
78,290208907,5877267652,402.48494471086553
79,290208907,7550673374,788.1360990536197
80,290208907,5864899157,5284.29418481443
81,290209016,5877267591,10.700140265285086
82,290209016,5877267833,331.2623996866558
83,290209016,2329707457,862.6055187525179
84,290209227,5877268558,286.5583446474406
85,290209227,5864892326,344.07644174781353
86,290209227,2329707558,1204.904497304908
87,290209263,5877267998,365.85196556682297
88,290209295,7538277772,72.63585904804563
89,290209295,395351675,201.3632704667349
90,290209295,393089506,93.46054276639175
91,290209298,3903397788,21.76377286338217
92,290209298,3903397822,52.33806261991013
93,290209298,3903397798,154.57156524463775
94,290209352,8118039813,105.52939001813554
95,290209352,5234298517,45.730073398638545
96,290209352,395350999,98.46680381596701
97,290209387,1092114461,280.32280784880714
98,290209387,8118039808,167.55894269808655
99,290209387,11432929518,154.11741150156968
100,290209468,12070856225,59.220955497149745
101,290209468,1092114410,169.27437359467064
102,290209468,10867217691,66.96887267629776
103,290209502,5864865669,170.35067443625303
104,290209502,4770553788,69.7186668497465
105,290209502,290209503,104.61606571684399
106,290209503,5864865681,111.74227351626269
107,290209503,290209502,104.61606571684399
108,290209503,5864865793,138.58869343743135
109,290209515,11332452520,251.6038311657279
110,290209515,11332452461,161.88280723234428
111,290209515,7521531149,239.18524117465535
112,290209515,290209516,83.73383414104654
113,290209516,12070829032,515.9876066080353
114,290209516,290209515,83.73383414104654
115,290209516,5234209717,76.15873923409671
116,290209518,12070829037,259.127184656092
117,290209518,5234209717,139.3739899733074
118,290209518,4770554345,344.9519116120601
119,290209589,5837909044,299.23161173604245
120,290209589,5837909041,155.79098422565704
121,290209589,5837909049,105.935428239135
122,290209592,5837909059,39.130012388667524
123,290209592,5837909063,167.81603967700278
124,290209592,5837909061,62.839365556769394
125,290210083,7516904304,240.82550889193166
126,290210083,7518470940,301.50204565262555
127,290210083,7518470952,28.90318146836075
128,290210083,12070856476,171.21672052329788
129,290210100,12518718422,41.78851174128449
130,290210100,4770546727,80.05970024473181
131,290210100,393090158,76.52029500545098
132,290210443,3907783818,34.46941529774559
133,290210443,8850935250,303.86234858709423
134,290210443,7922796338,126.87398039070247
135,290210455,3907783897,158.90122205020776
136,290210455,3029306334,103.53663485073508
137,290210455,5234292092,53.45337300673236
138,290210460,5234292152,38.01290451230069
139,290210460,8093298488,296.5782306976082
140,290210460,9852371645,153.7713477903954
141,306421278,5869995436,53.50033609674778
142,306421278,306421297,280.91530925929567
143,306421278,5869994540,533.2592438379606
144,306421297,306421278,280.91530925929567
145,306421297,5869995171,337.8045935188426
146,306421297,5869994529,363.9300285912201
147,306421862,5292977879,1764.3029301039164
148,306421862,4720118794,775.9295456286465
149,306421862,5869995438,527.8745787419542
150,306422213,12523827354,1066.42713564313
151,306422213,412483181,901.7415117622401
152,306422213,9843267536,461.04357634400503
153,306422540,5870645302,63.737389555886
154,306422540,5870405642,336.0123245510215
155,306422540,5870405232,485.7439899710257
156,306422618,5870405658,323.9523660748199
157,306422618,5887353216,187.76615063910046
158,306422618,5870405111,453.6081596018171
159,306422654,5870405118,63.682336605845464
160,306422654,9824058071,149.65523914810026
161,306422654,412483033,506.5399023331719
162,306423348,412482916,120.26017413734057
163,306423348,7733795493,672.5852181752168
164,306423348,306423380,259.11321090930915
165,306423380,5831634905,548.9590087780713
166,306423380,306423348,259.11321090930915
167,306423380,412482911,319.78719466389816
168,306423443,5831634900,465.9126745097087
169,306423443,412482911,200.97368822998746
170,306423443,306423449,304.7692251875399
171,306423449,306423455,21.569712092594898
172,306423449,5831634941,544.7570598703624
173,306423449,306423443,304.7692251875399
174,306423455,306423449,21.569712092594898
175,306423455,1461434057,643.9059164069957
176,306423455,306423461,97.71631382390093
177,306423461,2645646298,996.6040740958392
178,306423461,306423455,97.71631382390093
179,306423461,5886523855,1333.9653495646078
180,306423602,5831634729,457.314929482381
181,306423602,306423616,131.9929376470897
182,306423602,2329707457,420.7136831083624
183,306423616,306423602,131.9929376470897
184,306423616,306423620,107.28813831563205
185,306423616,5870057457,682.9558592806075
186,306423620,5870125592,60.690730288604755
187,306423620,306423616,107.28813831563205
188,306423620,5870058405,314.5895641114519
189,306423636,5870058405,8.522813814938145
190,306423636,5870058376,248.50500965451204
191,306423636,5870057476,333.57833704115177
192,306423715,5870058376,1451.2613610776293
193,306423715,5870057956,221.82237803358555
194,306423715,2640251368,560.7871820175665
195,313460739,5274680206,95.72701205728367
196,313460739,3251533869,60.736086972814306
197,313460739,5882978551,98.84466752490155
198,340355113,5871738773,915.5011350479461
199,340355113,5871739984,904.9785680484483
200,340355113,5871736607,224.52775608520048
201,340355163,411488626,117.25632079537716
202,340355163,3903466451,127.56183638711079
203,340355163,5871739984,171.69196038701193
204,340355163,5232578646,56.632365121809606
205,340355170,5232580334,16.53006372368444
206,340355170,7517623848,90.19924282553056
207,340355170,5232582188,145.89155772626492
208,340355281,12520801051,25.81968450029615
209,340355281,340355328,522.8921836654457
210,340355281,8867494325,18.812835945910034
211,340355328,340355438,1134.55974445459
212,340355328,340355281,522.8921836654457
213,340355328,5871737931,304.7971991489001
214,340355438,340355446,291.8816494524883
215,340355438,340355328,1134.55974445459
216,340355438,5871736886,707.9281666783062
217,340355446,5300686997,89.54310710293991
218,340355446,340355438,291.8816494524883
219,340355446,5871738107,1187.1227598153873
220,340355463,5870702486,330.2395895674988
221,340355463,5300686997,837.3984805526366
222,340355463,8157194626,397.5683491674938
223,340355472,3251511674,222.24457325441406
224,340355472,12518559789,202.63128413511652
225,340355472,5870702522,378.5237721312991
226,340355485,5297534124,18.864918166596322
227,340355485,3251511687,290.9747044587452
228,340355485,5870260729,679.6671443509151
229,340355500,5871738143,8.124099950056848
230,340355500,5871736607,240.26788205172682
231,340355500,5871735944,241.79646386282266
232,340355645,5870061588,178.35961311866023
233,340355645,3903466419,238.19108075123842
234,340355645,5870062562,576.52556849369
235,340355656,5870062545,85.88099793775153
236,340355656,5870060557,128.02637410792664
237,340355656,5870060242,124.38800502533849
238,340355658,340355659,140.0179915005868
239,340355658,12934653304,78.5737940954503
240,340355658,5870062545,236.16230887025222
241,340355659,340355658,140.0179915005868
242,340355659,5870060283,437.3544659247434
243,340355659,12934807452,165.90290554743603
244,340355695,5870061181,225.96078506707929
245,340355695,5870061581,64.0875480124338
246,340355695,5870061599,251.84393529569337
247,340355699,5870061370,57.286339290639525
248,340355699,5870060299,100.86760525043272
249,340355699,340355700,126.02126811936857
250,340355700,5232566621,66.30906251793303
251,340355700,5870060299,196.69001955118898
252,340355700,340355699,126.02126811936857
253,340355704,5870398458,29.22569575080953
254,340355704,411451013,186.0484083882804
255,340355704,12498671824,52.599223865297205
256,340355724,5877686440,768.6820357865164
257,340355724,5877687230,171.7479787898118
258,340355724,5877687785,584.7979933591422
259,340355742,12069547696,53.10917780965347
260,340355742,5877687895,8.470208416355753
261,340355742,5877686180,263.66146713920386
262,340355742,5877687843,195.19866690353777
263,340355780,340355782,223.57443508715707
264,340355780,5877686321,232.17549858621004
265,340355780,5877687966,637.7827864797118
266,340355782,340355780,223.57443508715707
267,340355782,3251555399,593.3349129878866
268,340355782,3251554139,718.6123673434043
269,340355795,4770519178,280.8447965351699
270,340355795,5877715835,438.0029414239053
271,340355795,8093081286,156.16790370155707
272,340355817,5882977791,275.7461217106762
273,340355817,3251533942,130.43990538750768
274,340355817,5234303775,88.54818431161823
275,340355823,5234305873,124.02380337623566
276,340355823,5234304562,53.9483498849918
277,340355823,340355826,165.74878185956297
278,340355826,5882978859,181.7560199615046
279,340355826,340355823,165.74878185956297
280,340355826,9582582126,71.51121844710626
281,340355888,340361542,94.47324108092494
282,340355888,340355953,317.95945106224605
283,340355888,5870599765,137.90328601657586
284,340355953,340355957,17.985023205118697
285,340355953,340355888,317.9594510622461
286,340355953,5870599959,237.0294157515416
287,340355957,340355953,17.985023205118697
288,340355957,5870599724,113.14934641117719
289,340355957,5870599536,100.79932878368231
290,340355957,5870600772,153.56753237684316
291,340356011,5870599561,229.84405792418877
292,340356011,5870600135,23.919429811912828
293,340356011,5870600766,332.8034773408746
294,340356141,5870600271,961.5656301646457
295,340356141,340356150,139.99292102774226
296,340356141,5870601074,243.65937653464107
297,340356150,340356141,139.99292102774223
298,340356150,340356361,502.83889760867356
299,340356150,5870601097,905.178379196299
300,340356361,340356377,605.9758060110698
301,340356361,5870600054,305.39419545957765
302,340356361,340356150,502.8388976086735
303,340356377,340356361,605.97580601107
304,340356377,5870601096,178.38168394422075
305,340356384,5870601096,100.15887197508182
306,340356384,340361587,1252.3293126003964
307,340356384,5870601066,334.01498415707715
308,340358611,7483985078,19.49275256584914
309,340358611,5870047255,509.80571718914456
310,340358611,5234141962,35.571297401649524
311,340358611,5234141971,160.10046057529496
312,340358870,5699411688,113.08691414244751
313,340358870,7837720088,104.08177992303229
314,340358870,5870049320,569.8443728806425
315,340358922,5869962969,152.34197993605594
316,340358922,5869964397,542.1691765130699
317,340358922,7837720088,180.77748579889683
318,340359002,340359008,26.235875693086637
319,340359002,8218713089,383.89182991184464
320,340359002,5869964397,135.5878638317766
321,340359008,340359002,26.235875693086637
